elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
-1.81176,-2.3915,4.87417,-1.56051,0.665348,-1.40439,0.485389,0.861261,0.118702,-0.498835,-0.0720064,0.58481,0.635592
-0.616238,-3.8761,5.20788,3.50574,3.54012,1.81024,-0.129651,0.173601,-0.845078,0.154559,0.532538,0.770861,0.313509
-1.55586,1.60672,-3.669,-4.92901,-0.411258,1.51075,0.277229,0.25335,-0.0490489,-0.118058,-0.596707,0.401367,0.684768
-0.686735,4.47649,1.6073,-2.11128,5.9593,3.09245,0.59075,-0.116258,0.943054,-0.0476346,-0.616611,0.529045,0.581063
0.623929,6.20831,-2.84175,-5.75723,3.3275,5.20891,0.0880161,0.136805,0.426949,-0.333012,-0.571003,-0.208989,0.720682
0.858629,3.50533,-4.10328,-5.55691,-4.02163,-0.267478,-0.0929168,0.0452359,0.590075,-0.516666,-0.428646,0.63995,0.373874
0.686873,-3.64556,4.34913,-1.28694,4.41156,0.614878,-0.187185,0.0270516,-0.646283,-0.482012,-0.0679189,-0.54109,0.685764
2.95073,3.44429,3.34836,2.73668,-4.59879,3.02517,0.154583,-0.193782,0.215872,0.576262,0.46879,-0.485442,-0.460981
0.00655438,5.39575,4.07583,-0.781054,0.600174,1.09162,-0.314997,0.268273,0.727425,0.498536,0.249499,0.0104594,0.830122
3.00596,-1.90112,-1.88261,1.67833,1.84435,5.46863,0.585587,-0.2239,0.575588,-0.326047,0.898849,-0.0057908,-0.292798
-2.79293,-2.38769,-4.14471,0.663292,-4.94188,-1.61789,-0.0845446,-0.244244,0.585673,-0.176361,0.522495,0.224902,0.803315
2.56898,-2.16489,5.62249,-6.03564,1.50864,-0.627225,0.675411,-0.651229,1.02949,-0.146702,0.863166,0.351411,-0.331563
1.83625,-2.96202,-3.25418,3.25202,-5.55169,-5.62842,-0.228645,-0.153416,0.383588,-0.0767575,0.743675,0.514491,0.419946
0.14239,-0.590116,2.01991,2.77205,2.40604,-4.41696,0.636664,0.179903,0.0825607,-0.292039,0.841088,0.373651,0.260133
-0.782419,3.14476,-0.43664,-4.61054,-3.97372,-5.54056,-0.674469,0.805368,0.0630708,0.621905,0.680275,0.359471,0.145742
2.24828,6.06079,-1.41931,4.21729,-0.367346,2.64326,-0.551517,0.234183,1.00956,-0.33611,0.695218,-0.0551445,0.632978
2.2444,0.0375556,-3.23803,-3.73705,-2.2284,-5.96523,-0.106298,-0.0317919,-0.0271763,-0.230487,-0.453894,0.29073,0.810143
3.11078,3.70531,-1.07275,5.21503,-3.6261,-1.5518,1.13376,-0.105989,0.174496,0.516834,-0.000314633,-0.02297,0.855777
-0.825834,4.37821,5.55941,-4.38455,-3.39408,-4.41581,-0.359913,0.480678,0.97006,0.429982,0.631208,0.645053,0.0244712
3.12378,-5.90066,-1.01451,-6.21234,-1.80069,2.25729,-0.999744,-0.129802,0.127783,0.252491,-0.420918,-0.247834,0.835257
0.303847,0.438048,4.61911,-2.09377,-2.94833,1.83167,0.69662,0.281069,0.580647,0.682448,-0.22647,-0.505525,-0.476886
-1.10779,-2.95872,-3.50102,-5.38276,-1.24112,-6.05757,0.0994344,0.275202,0.375745,-0.24009,0.869293,-0.420212,-0.100544
-0.2055,4.04653,-1.67864,-4.21225,-2.72797,-0.420614,-0.63165,0.200541,0.250404,-0.430479,-0.348135,-0.578217,0.599295
2.79646,-3.18681,-0.995757,-0.28435,-0.8171,-5.63566,0.85186,-0.576083,-0.228624,0.510518,0.770081,0.38252,0.0050031
-1.75256,-2.31571,3.08862,-3.58689,0.11418,-2.24958,0.281585,-0.0718859,0.349803,-0.152458,-0.703625,0.0966875,0.687256
